蚂蟥养殖,#genre#
冬奥纪实,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226730/index.m3u8
兵团卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226859/index.m3u8
新闻综合,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226849/index.m3u8
东南卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226046/index.m3u8

青海卫视,http://live.geermurmt.com/qhws/sd/live.m3u8
康巴卫视,http://stream.kangbatv.com/test/playlist.m3u8
内蒙古卫视,tvbus://1RFi9DSfGVJhF7o9LBqHR1mUgGhZ5s3YMiRmWp33Rzf7DPofny

CCTV1,http://39.135.16.157:6610/PLTV/88888888/224/3221225777/1/index.m3u8?fmt=ts2hls
CCTV1,http://39.135.16.157:6610/PLTV/88888888/224/3221225726/1/index.m3u8?fmt=ts2hls
CCTV1,http://39.135.16.157:6610/PLTV/88888888/224/3221226030/1/index.m3u8?fmt=ts2hls
CCTV2,http://39.135.16.157:6610/PLTV/88888888/224/3221225706/1/index.m3u8?fmt=ts2hls
CCTV3,http://39.135.16.157:6610/PLTV/88888888/224/3221226040/1/index.m3u8?fmt=ts2hls
CCTV3,http://39.135.16.157:6610/PLTV/88888888/224/3221226008/1/index.m3u8?fmt=ts2hls
CCTV4,http://39.135.16.157:6610/PLTV/88888888/224/3221225779/1/index.m3u8?fmt=ts2hls
CCTV4,http://39.135.16.157:6610/PLTV/88888888/224/3221225744/1/index.m3u8?fmt=ts2hls
CCTV5,http://39.135.16.157:6610/PLTV/88888888/224/3221226024/1/index.m3u8?fmt=ts2hls
CCTV5,http://39.135.16.157:6610/PLTV/88888888/224/3221226043/1/index.m3u8?fmt=ts2hls
CCTV6,http://39.135.16.157:6610/PLTV/88888888/224/3221226011/1/index.m3u8?fmt=ts2hls
CCTV6,http://39.135.16.157:6610/PLTV/88888888/224/3221226046/1/index.m3u8?fmt=ts2hls
CCTV7,http://39.135.16.157:6610/PLTV/88888888/224/3221225745/1/index.m3u8?fmt=ts2hls
CCTV8,http://39.135.16.157:6610/PLTV/88888888/224/3221226005/1/index.m3u8?fmt=ts2hls
CCTV8,http://39.135.16.157:6610/PLTV/88888888/224/3221226060/1/index.m3u8?fmt=ts2hls
